,股號,股名,產業別
0,1101,台泥,水泥工業
1,1102,亞泥,水泥工業
2,1103,嘉泥,水泥工業
3,1104,環泥,水泥工業
4,1108,幸福,水泥工業
5,1109,信大,水泥工業
6,1110,東泥,水泥工業
7,1201,味全,食品工業
8,1203,味王,食品工業
9,1210,大成,食品工業
10,1213,大飲,食品工業
11,1215,卜蜂,食品工業
12,1216,統一,食品工業
13,1217,愛之味,食品工業
14,1218,泰山,食品工業
15,1219,福壽,食品工業
16,1220,台榮,食品工業
17,1225,福懋油,食品工業
18,1227,佳格,食品工業
19,1229,聯華,食品工業
20,1231,聯華食,食品工業
21,1232,大統益,食品工業
22,1233,天仁,食品工業
23,1234,黑松,食品工業
24,1235,興泰,食品工業
25,1236,宏亞,食品工業
26,1256,鮮活果汁-KY,食品工業
27,1301,台塑,塑膠工業
28,1303,南亞,塑膠工業
29,1304,台聚,塑膠工業
30,1305,華夏,塑膠工業
31,1307,三芳,塑膠工業
32,1308,亞聚,塑膠工業
33,1309,台達化,塑膠工業
34,1310,台苯,塑膠工業
35,1312,國喬,塑膠工業
36,1313,聯成,塑膠工業
37,1314,中石化,塑膠工業
38,1315,達新,塑膠工業
39,1316,上曜,建材營造業
40,1319,東陽,汽車工業
41,1321,大洋,塑膠工業
42,1323,永裕,塑膠工業
43,1324,地球,塑膠工業
44,1325,恆大,塑膠工業
45,1326,台化,塑膠工業
46,1337,再生-KY,塑膠工業
47,1338,廣華-KY,汽車工業
48,1339,昭輝,汽車工業
49,1340,勝悅-KY,塑膠工業
50,1341,富林-KY,塑膠工業
51,1342,八貫,其他業
52,1402,遠東新,紡織纖維
53,1409,新纖,紡織纖維
54,1410,南染,紡織纖維
55,1413,宏洲,紡織纖維
56,1414,東和,紡織纖維
57,1416,廣豐,其他業
58,1417,嘉裕,紡織纖維
59,1418,東華,紡織纖維
60,1419,新紡,紡織纖維
61,1423,利華,紡織纖維
62,1432,大魯閣,運動休閒
63,1434,福懋,紡織纖維
64,1435,中福,其他業
65,1436,華友聯,建材營造業
66,1437,勤益控,其他業
67,1438,三地開發,建材營造業
68,1439,雋揚,建材營造業
69,1440,南紡,紡織纖維
70,1441,大東,紡織纖維
71,1442,名軒,建材營造業
72,1443,立益物流,其他業
73,1444,力麗,紡織纖維
74,1445,大宇,紡織纖維
75,1446,宏和,紡織纖維
76,1447,力鵬,紡織纖維
77,1449,佳和,紡織纖維
78,1451,年興,紡織纖維
79,1452,宏益,紡織纖維
80,1453,大將,建材營造業
81,1454,台富,紡織纖維
82,1455,集盛,紡織纖維
83,1456,怡華,建材營造業
84,1457,宜進,紡織纖維
85,1459,聯發,紡織纖維
86,1460,宏遠,紡織纖維
87,1463,強盛,紡織纖維
88,1464,得力,紡織纖維
89,1465,偉全,紡織纖維
90,1466,聚隆,紡織纖維
91,1467,南緯,紡織纖維
92,1468,昶和,紡織纖維
93,1470,大統新創,紡織纖維
94,1471,首利,電子零組件業
95,1472,三洋實業,建材營造業
96,1473,台南,紡織纖維
97,1474,弘裕,紡織纖維
98,1475,業旺,紡織纖維
99,1476,儒鴻,紡織纖維
100,1477,聚陽,紡織纖維
101,1503,士電,電機機械
102,1504,東元,電機機械
103,1506,正道,電機機械
104,1512,瑞利,汽車工業
105,1513,中興電,電機機械
106,1514,亞力,電機機械
107,1515,力山,電機機械
108,1516,川飛,其他業
109,1517,利奇,電機機械
110,1519,華城,電機機械
111,1521,大億,汽車工業
112,1522,堤維西,汽車工業
113,1524,耿鼎,汽車工業
114,1525,江申,汽車工業
115,1526,日馳,電機機械
116,1527,鑽全,電機機械
117,1528,恩德,電機機械
118,1529,樂事綠能,電機機械
119,1530,亞崴,電機機械
120,1531,高林股,電機機械
121,1532,勤美,電機機械
122,1533,車王電,汽車工業
123,1535,中宇,電機機械
124,1536,和大,汽車工業
125,1537,廣隆,電機機械
126,1538,正峰,電機機械
127,1539,巨庭,電機機械
128,1540,喬福,電機機械
129,1541,錩泰,電機機械
130,1558,伸興,電機機械
131,1560,中砂,電機機械
132,1568,倉佑,汽車工業
133,1582,信錦,電子零組件業
134,1583,程泰,電機機械
135,1587,吉茂,汽車工業
136,1589,永冠-KY,電機機械
137,1590,亞德客-KY,電機機械
138,1597,直得,電機機械
139,1598,岱宇,運動休閒
140,1603,華電,電器電纜
141,1604,聲寶,電器電纜
142,1605,華新,電器電纜
143,1608,華榮,電器電纜
144,1609,大亞,電器電纜
145,1611,中電,電器電纜
146,1612,宏泰,電器電纜
147,1614,三洋電,電器電纜
148,1615,大山,電器電纜
149,1616,億泰,電器電纜
150,1617,榮星,電器電纜
151,1618,合機,電器電纜
152,1626,艾美特-KY,電器電纜
153,1701,中化,生技醫療業
154,1702,南僑,食品工業
155,1707,葡萄王,生技醫療業
156,1708,東鹼,化學工業
157,1709,和益,化學工業
158,1710,東聯,化學工業
159,1711,永光,化學工業
160,1712,興農,化學工業
161,1713,國化,化學工業
162,1714,和桐,化學工業
163,1717,長興,化學工業
164,1718,中纖,化學工業
165,1720,生達,生技醫療業
166,1721,三晃,化學工業
167,1722,台肥,化學工業
168,1723,中碳,化學工業
169,1725,元禎,化學工業
170,1726,永記,化學工業
171,1727,中華化,化學工業
172,1730,花仙子,化學工業
173,1731,美吾華,生技醫療業
174,1732,毛寶,化學工業
175,1733,五鼎,生技醫療業
176,1734,杏輝,生技醫療業
177,1735,日勝化,化學工業
178,1736,喬山,運動休閒
179,1737,臺鹽,食品工業
180,1752,南光,生技醫療業
181,1760,寶齡富錦,生技醫療業
182,1762,中化生,生技醫療業
183,1773,勝一,化學工業
184,1776,展宇,化學工業
185,1783,和康生,生技醫療業
186,1786,科妍,生技醫療業
187,1789,神隆,生技醫療業
188,1795,美時,生技醫療業
189,1802,台玻,玻璃陶瓷
190,1805,寶徠,建材營造業
191,1806,冠軍,玻璃陶瓷
192,1808,潤隆,建材營造業
193,1809,中釉,玻璃陶瓷
194,1810,和成,玻璃陶瓷
195,1817,凱撒衛,玻璃陶瓷
196,1903,士紙,造紙工業
197,1904,正隆,造紙工業
198,1905,華紙,造紙工業
199,1906,寶隆,造紙工業
200,1907,永豐餘,造紙工業
201,1909,榮成,造紙工業
