image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x178DB489F00>,are regions of the brain infarcted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x178DB4AAB90>,are the lungs normal appearing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x178DB4AAC50>,which organ system is abnormal in this image?,cardiovascular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB4AACE0>,is the lesion causing significant brainstem herniation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x178DB4AAD70>,how was this image taken?,mri
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x178DB4AAE00>,what is the condition of the patient,blind loop syndrome
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x178DB4AAE90>,what abnormality is seen?,blind-ending loop of bowel arising from the cecum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x178DB4AAF20>,what is the location of the mass?,pineal region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x178DB4AAFB0>,where is the mass?,pineal region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x178DB4AB040>,is this image in the transverse plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=590x480 at 0x178DB4AB0D0>,are there any pulmonary findings?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=590x480 at 0x178DB4AB160>,are the lungs affected?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x178DB4AB1F0>,in which lobe are the lesions?,bilateral frontal lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x178DB4AB280>,where are the lesions?,bilateral frontal lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x178DB4AB310>,is there herniation of the brainstem secondary to the lesion,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x178DB4AB3A0>,what type of image is this?,mri-dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x178DB4AB430>,is the gyral enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=516x730 at 0x178DB4AB4C0>,what is the location of the abnormality?,right colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=516x730 at 0x178DB4AB550>,where is the abnormal finding?,right colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178DB4AB5E0>,what plane is seen?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x178DB4AB670>,how would you describe the mass?,isointense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x178DB4AB700>,what are the characteristics of the mass?,isointense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x178DB4AB790>,which plane is this image taken in?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x178DB4AB820>,is the mass hyperintense or hypointense?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x178DB4AB8B0>,what is the radiological description of the mass?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178DB4AB940>,is it difficult to delineate the left costophrenic angle?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4AB9D0>,what allows for the bright areas seen in this image?,iv contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178DB4ABA30>,is this an mri?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4ABB20>,is the mass heterogenous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x178DB4ABBB0>,is the mass heterogenous in consistency?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x178DB4ABC40>,are there abnormalities with in the contrast between white and grey matter?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x178DB4ABCD0>,is the gray-white matter junction altered?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x178DB4ABD60>,is there evidence of inflammation?,yes
